Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Abadullah Hananzai",Killed,"April 30, 2018",Afghanistan,"Radio Azadi,Radio Free Europe/Radio Liberty",Confirmed,Murder,https://cpj.org/data/people/abadullah-hananzai/
"Abbas al-Dailami",Killed,"September 10, 2025",Yemen,"26 September, Yemen",Confirmed,Murder,https://cpj.org/data/people/abbas-al-dailami/
"Abd al-Karim al-Ezzo",Killed,"December 21, 2012",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/abd-al-karim-al-ezzo/
"Abdallah Alwan",Killed,"December 18, 2023","Israel and the Occupied Palestinian Territory","Holy Quran Radio,Midan,Mugtama,Al-Jazeera",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdallah-alwan/
"Abdallah Iyad Breis",Killed,"January 8, 2024","Israel and the Occupied Palestinian Territory","Rawafed educational channel",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdallah-iyad-breis/
"Abdel Aziz Mahmoud Hasoun",Killed,"September 5, 2013",Syria,"Masar Press",Confirmed,Crossfire,https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/
"Abdel Karim al-Oqda",Killed,"September 19, 2012",Syria,"Shaam News Network",Confirmed,Murder,https://cpj.org/data/people/abdel-karim-al-oqda/
"Abdel Karim al-Rubai",Killed,"September 9, 2006",Iraq,Al-Sabah,Confirmed,Murder,https://cpj.org/data/people/abdel-karim-al-rubai/
"Abdel Karim Nazir Ismail",Killed,"January 31, 2013",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/abdel-karim-nazir-ismail/
"Abdel Rahman al-Tanani",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdel-rahman-al-tanani/
"Abdel Sattar Abdel Karim",Killed,"February 1, 2004",Iraq,"Al Ta'akhy",Confirmed,Crossfire,https://cpj.org/data/people/abdel-sattar-abdel-karim/
"Abdelqadir Fassouk",Killed,"July 21, 2016",Libya,"Arraed Satellite TV",Confirmed,Crossfire,https://cpj.org/data/people/abdelqadir-fassouk/
"Abdiaziz Ali",Killed,"September 27, 2016",Somalia,"Radio Shabelle",Confirmed,Murder,https://cpj.org/data/people/abdiaziz-ali/
"Abdiaziz Mohamud Guled",Killed,"November 20, 2021",Somalia,"Radio Mogadishu",Confirmed,Murder,https://cpj.org/data/people/abdiaziz-mohamud-guled/
"Abdihared Osman Aden",Killed,"January 18, 2013",Somalia,"Shabelle Media Network",Confirmed,Murder,https://cpj.org/data/people/abdihared-osman-aden/
"Abdinasir Abdulle Ga’al",Killed,"August 14, 2019",Somalia,"Somali National Army Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdinasir-abdulle-gaal/
"Abdirahman Yasin Ali",Killed,"September 20, 2012",Somalia,"Radio Hamar",Confirmed,Murder,https://cpj.org/data/people/abdirahman-yasin-ali/
"Abdirisak Mohamed Warsame",Killed,"May 22, 2009",Somalia,"Radio Shabelle",Confirmed,Crossfire,https://cpj.org/data/people/abdirisak-mohamed-warsame/
"Abdirizak Ali Abdi",Killed,"November 16, 2014",Somalia,"Radio Daljir,Horn Cable TV",Confirmed,Murder,https://cpj.org/data/people/abdirizak-ali-abdi/
"Abdisalan Sheikh Hassan",Killed,"December 18, 2011",Somalia,Freelance,Confirmed,Murder,https://cpj.org/data/people/abdisalan-sheikh-hassan/
"Abdisatar Daher Sabriye",Killed,"September 20, 2012",Somalia,"Radio Mogadishu",Confirmed,Murder,https://cpj.org/data/people/abdisatar-daher-sabriye/
"Abdiwali Ali Hassan",Killed,"February 16, 2020",Somalia,"Freelance; Universal TV,  Radio Kulmiye",Confirmed,Murder,https://cpj.org/data/people/abdiwali-ali-hassan/
"Abdo Taher Musleh al-Saadi",Killed,"September 10, 2025",Yemen,"26 September and Yemen newspapers",Confirmed,Murder,https://cpj.org/data/people/abdo-taher-musleh-al-saadi/
"Abdul Aziz Shaheen",Killed,"August 29, 2008",Pakistan,Azadi,Confirmed,Crossfire,https://cpj.org/data/people/abdul-aziz-shaheen/
"Abdul Ghafor Abed",Killed,"October 15, 2025",Afghanistan,"Radio Television Afghanistan",Confirmed,"Crossfire / Combat Related",https://cpj.org/data/people/abdul-ghafor-abed/
"Abdul Hakim Shimul",Killed,"February 3, 2017",Bangladesh,Samakal,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-hakim-shimul/
"Abdul Hameed al-Yousef",Killed,"November 10, 2019",Syria,"Kafr Rumah Media Office",Confirmed,Crossfire,https://cpj.org/data/people/abdul-hameed-al-yousef/
"Abdul Haq Baloch",Killed,"September 29, 2012",Pakistan,"ARY Television",Confirmed,Murder,https://cpj.org/data/people/abdul-haq-baloch/
